"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Caroline County, MD"	"24011"	17	131003	Unreliable
	"Carroll County, MD"	"24013"	71	670802	10.6
	"Cecil County, MD"	"24015"	60	409424	14.7
	"Charles County, MD"	"24017"	45	623429	7.2
	"Dorchester County, MD"	"24019"	11	129784	Unreliable
	"Frederick County, MD"	"24021"	76	982428	7.7
	"Garrett County, MD"	"24023"	11	118261	Unreliable
	"Harford County, MD"	"24025"	105	1001770	10.5
	"Howard County, MD"	"24027"	65	1248391	5.2
	"Kent County, MD"	"24029"	Suppressed	78935	Suppressed
	"Montgomery County, MD"	"24031"	117	4146050	2.8
	"Prince George's County, MD"	"24033"	124	3616802	3.4
	"Queen Anne's County, MD"	"24035"	11	195995	Unreliable
	"St. Mary's County, MD"	"24037"	40	444095	9.0
	"Somerset County, MD"	"24039"	Suppressed	103818	Suppressed
	"Talbot County, MD"	"24041"	Suppressed	150189	Suppressed
	"Washington County, MD"	"24043"	60	599324	10.0
	"Wicomico County, MD"	"24045"	30	407728	7.4
	"Worcester County, MD"	"24047"	20	206525	9.7
	"Baltimore city, MD"	"24510"	581	2478394	23.4
	"Barnstable County, MA"	"25001"	120	857681	14.0
	"Berkshire County, MA"	"25003"	31	512441	6.0
	"Bristol County, MA"	"25005"	393	2225229	17.7
	"Dukes County, MA"	"25007"	Suppressed	69236	Suppressed
	"Essex County, MA"	"25009"	480	3092889	15.5
	"Franklin County, MA"	"25011"	15	283386	Unreliable
	"Hampden County, MA"	"25013"	117	1875988	6.2
	"Hampshire County, MA"	"25015"	27	643661	4.2
	"Middlesex County, MA"	"25017"	592	6311203	9.4
	"Nantucket County, MA"	"25019"	Suppressed	43409	Suppressed
	"Norfolk County, MA"	"25021"	300	2776401	10.8
	"Plymouth County, MA"	"25023"	343	2034472	16.9
	"Suffolk County, MA"	"25025"	398	3098817	12.8
	"Worcester County, MA"	"25027"	321	3267660	9.8
	"Alcona County, MI"	"26001"	Suppressed	41732	Suppressed
	"Alger County, MI"	"26003"	Suppressed	37485	Suppressed
	"Allegan County, MI"	"26005"	Suppressed	457450	Suppressed
	"Alpena County, MI"	"26007"	Suppressed	115344	Suppressed
	"Antrim County, MI"	"26009"	Suppressed	93083	Suppressed
	"Arenac County, MI"	"26011"	Suppressed	61146	Suppressed
	"Baraga County, MI"	"26013"	Suppressed	34365	Suppressed
