"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Garfield County, MT"	"30033"	Suppressed	2603	Suppressed
	"Glacier County, MT"	"30035"	Suppressed	27334	Suppressed
	"Golden Valley County, MT"	"30037"	Suppressed	1653	Suppressed
	"Granite County, MT"	"30039"	Suppressed	6726	Suppressed
	"Hill County, MT"	"30041"	Suppressed	33005	Suppressed
	"Jefferson County, MT"	"30043"	Suppressed	23744	Suppressed
	"Judith Basin County, MT"	"30045"	Suppressed	3901	Suppressed
	"Lake County, MT"	"30047"	Suppressed	60031	Suppressed
	"Lewis and Clark County, MT"	"30049"	Suppressed	135055	Suppressed
	"Liberty County, MT"	"30051"	Suppressed	4836	Suppressed
	"Lincoln County, MT"	"30053"	Suppressed	38699	Suppressed
	"McCone County, MT"	"30055"	Suppressed	3418	Suppressed
	"Madison County, MT"	"30057"	Suppressed	16099	Suppressed
	"Meagher County, MT"	"30059"	Suppressed	3678	Suppressed
	"Mineral County, MT"	"30061"	Suppressed	8439	Suppressed
	"Missoula County, MT"	"30063"	Suppressed	233571	Suppressed
	"Musselshell County, MT"	"30065"	Suppressed	9228	Suppressed
	"Park County, MT"	"30067"	Suppressed	32467	Suppressed
	"Petroleum County, MT"	"30069"	Suppressed	1012	Suppressed
	"Phillips County, MT"	"30071"	Suppressed	8252	Suppressed
	"Pondera County, MT"	"30073"	Suppressed	12044	Suppressed
	"Powder River County, MT"	"30075"	Suppressed	3498	Suppressed
	"Powell County, MT"	"30077"	Suppressed	13653	Suppressed
	"Prairie County, MT"	"30079"	Suppressed	2291	Suppressed
	"Ravalli County, MT"	"30081"	Suppressed	84651	Suppressed
	"Richland County, MT"	"30083"	Suppressed	22521	Suppressed
	"Roosevelt County, MT"	"30085"	Suppressed	22403	Suppressed
	"Rosebud County, MT"	"30087"	Suppressed	18535	Suppressed
	"Sanders County, MT"	"30089"	Suppressed	23245	Suppressed
	"Sheridan County, MT"	"30091"	Suppressed	7117	Suppressed
	"Silver Bow County, MT"	"30093"	Suppressed	69155	Suppressed
	"Stillwater County, MT"	"30095"	Suppressed	18825	Suppressed
	"Sweet Grass County, MT"	"30097"	Suppressed	7314	Suppressed
	"Teton County, MT"	"30099"	Suppressed	12141	Suppressed
	"Toole County, MT"	"30101"	Suppressed	9863	Suppressed
	"Treasure County, MT"	"30103"	Suppressed	1371	Suppressed
	"Valley County, MT"	"30105"	Suppressed	14972	Suppressed
	"Wheatland County, MT"	"30107"	Suppressed	4257	Suppressed
	"Wibaux County, MT"	"30109"	Suppressed	2113	Suppressed
	"Yellowstone County, MT"	"30111"	Suppressed	317417	Suppressed
	"Adams County, NE"	"31001"	Suppressed	63362	Suppressed
	"Antelope County, NE"	"31003"	Suppressed	12691	Suppressed
	"Arthur County, NE"	"31005"	Suppressed	926	Suppressed
	"Banner County, NE"	"31007"	Suppressed	1540	Suppressed
	"Blaine County, NE"	"31009"	Suppressed	966	Suppressed
	"Boone County, NE"	"31011"	Suppressed	10684	Suppressed
	"Box Butte County, NE"	"31013"	Suppressed	22080	Suppressed
	"Boyd County, NE"	"31015"	Suppressed	3959	Suppressed
	"Brown County, NE"	"31017"	Suppressed	5974	Suppressed
	"Buffalo County, NE"	"31019"	Suppressed	99115	Suppressed
	"Burt County, NE"	"31021"	Suppressed	13081	Suppressed
	"Butler County, NE"	"31023"	Suppressed	16105	Suppressed
	"Cass County, NE"	"31025"	Suppressed	51656	Suppressed
	"Cedar County, NE"	"31027"	Suppressed	17201	Suppressed
	"Chase County, NE"	"31029"	Suppressed	7908	Suppressed
	"Cherry County, NE"	"31031"	Suppressed	11650	Suppressed
	"Cheyenne County, NE"	"31033"	Suppressed	19727	Suppressed
	"Clay County, NE"	"31035"	Suppressed	12368	Suppressed
	"Colfax County, NE"	"31037"	Suppressed	20999	Suppressed
	"Cuming County, NE"	"31039"	Suppressed	18058	Suppressed
	"Custer County, NE"	"31041"	Suppressed	21704	Suppressed
	"Dakota County, NE"	"31043"	Suppressed	40651	Suppressed
	"Dawes County, NE"	"31045"	Suppressed	17869	Suppressed
	"Dawson County, NE"	"31047"	Suppressed	47349	Suppressed
	"Deuel County, NE"	"31049"	Suppressed	3756	Suppressed
	"Dixon County, NE"	"31051"	Suppressed	11516	Suppressed
	"Dodge County, NE"	"31053"	Suppressed	73464	Suppressed
	"Douglas County, NE"	"31055"	19	1116615	Unreliable
	"Dundy County, NE"	"31057"	Suppressed	3632	Suppressed
	"Fillmore County, NE"	"31059"	Suppressed	11302	Suppressed
	"Franklin County, NE"	"31061"	Suppressed	6004	Suppressed
	"Frontier County, NE"	"31063"	Suppressed	5252	Suppressed
	"Furnas County, NE"	"31065"	Suppressed	9567	Suppressed
	"Gage County, NE"	"31067"	Suppressed	43400	Suppressed
	"Garden County, NE"	"31069"	Suppressed	3836	Suppressed
	"Garfield County, NE"	"31071"	Suppressed	4027	Suppressed
	"Gosper County, NE"	"31073"	Suppressed	3999	Suppressed
	"Grant County, NE"	"31075"	Suppressed	1290	Suppressed
	"Greeley County, NE"	"31077"	Suppressed	4773	Suppressed
	"Hall County, NE"	"31079"	Suppressed	123224	Suppressed
	"Hamilton County, NE"	"31081"	Suppressed	18393	Suppressed
	"Harlan County, NE"	"31083"	Suppressed	6916	Suppressed
	"Hayes County, NE"	"31085"	Suppressed	1790	Suppressed
	"Hitchcock County, NE"	"31087"	Suppressed	5659	Suppressed
	"Holt County, NE"	"31089"	Suppressed	20452	Suppressed
	"Hooker County, NE"	"31091"	Suppressed	1382	Suppressed
	"Howard County, NE"	"31093"	Suppressed	12866	Suppressed
	"Jefferson County, NE"	"31095"	Suppressed	14355	Suppressed
	"Johnson County, NE"	"31097"	Suppressed	10356	Suppressed
	"Kearney County, NE"	"31099"	Suppressed	13082	Suppressed
	"Keith County, NE"	"31101"	Suppressed	16090	Suppressed
	"Keya Paha County, NE"	"31103"	Suppressed	1584	Suppressed
	"Kimball County, NE"	"31105"	Suppressed	7298	Suppressed
	"Knox County, NE"	"31107"	Suppressed	17043	Suppressed
	"Lancaster County, NE"	"31109"	Suppressed	623995	Suppressed
	"Lincoln County, NE"	"31111"	Suppressed	70830	Suppressed
	"Logan County, NE"	"31113"	Suppressed	1540	Suppressed
	"Loup County, NE"	"31115"	Suppressed	1200	Suppressed
	"McPherson County, NE"	"31117"	Suppressed	992	Suppressed
	"Madison County, NE"	"31119"	Suppressed	70159	Suppressed
	"Merrick County, NE"	"31121"	Suppressed	15710	Suppressed
	"Morrill County, NE"	"31123"	Suppressed	9623	Suppressed
	"Nance County, NE"	"31125"	Suppressed	7183	Suppressed
	"Nemaha County, NE"	"31127"	Suppressed	13920	Suppressed
	"Nuckolls County, NE"	"31129"	Suppressed	8540	Suppressed
	"Otoe County, NE"	"31131"	Suppressed	32108	Suppressed
	"Pawnee County, NE"	"31133"	Suppressed	5293	Suppressed
	"Perkins County, NE"	"31135"	Suppressed	5801	Suppressed
	"Phelps County, NE"	"31137"	Suppressed	18326	Suppressed
	"Pierce County, NE"	"31139"	Suppressed	14297	Suppressed
	"Platte County, NE"	"31141"	Suppressed	66036	Suppressed
	"Polk County, NE"	"31143"	Suppressed	10531	Suppressed
	"Red Willow County, NE"	"31145"	Suppressed	21450	Suppressed
	"Richardson County, NE"	"31147"	Suppressed	16029	Suppressed
	"Rock County, NE"	"31149"	Suppressed	2826	Suppressed
	"Saline County, NE"	"31151"	Suppressed	28772	Suppressed
	"Sarpy County, NE"	"31153"	Suppressed	360462	Suppressed
	"Saunders County, NE"	"31155"	Suppressed	42095	Suppressed
	"Scotts Bluff County, NE"	"31157"	Suppressed	72785	Suppressed
	"Seward County, NE"	"31159"	Suppressed	34445	Suppressed
	"Sheridan County, NE"	"31161"	Suppressed	10523	Suppressed
	"Sherman County, NE"	"31163"	Suppressed	6140	Suppressed
	"Sioux County, NE"	"31165"	Suppressed	2445	Suppressed
	"Stanton County, NE"	"31167"	Suppressed	11932	Suppressed
	"Thayer County, NE"	"31169"	Suppressed	10146	Suppressed
	"Thomas County, NE"	"31171"	Suppressed	1441	Suppressed
	"Thurston County, NE"	"31173"	Suppressed	14350	Suppressed
	"Valley County, NE"	"31175"	Suppressed	8393	Suppressed
	"Washington County, NE"	"31177"	Suppressed	41324	Suppressed
	"Wayne County, NE"	"31179"	Suppressed	18683	Suppressed
	"Webster County, NE"	"31181"	Suppressed	7127	Suppressed
	"Wheeler County, NE"	"31183"	Suppressed	1594	Suppressed
	"York County, NE"	"31185"	Suppressed	27600	Suppressed
	"Churchill County, NV"	"32001"	Suppressed	48428	Suppressed
	"Clark County, NV"	"32003"	74	4359743	1.7
	"Douglas County, NV"	"32005"	Suppressed	96329	Suppressed
	"Elko County, NV"	"32007"	Suppressed	104817	Suppressed
	"Esmeralda County, NV"	"32009"	Suppressed	1640	Suppressed
	"Eureka County, NV"	"32011"	Suppressed	3878	Suppressed
	"Humboldt County, NV"	"32013"	Suppressed	33668	Suppressed
	"Lander County, NV"	"32015"	Suppressed	11395	Suppressed
	"Lincoln County, NV"	"32017"	Suppressed	10278	Suppressed
	"Lyon County, NV"	"32019"	Suppressed	107301	Suppressed
	"Mineral County, NV"	"32021"	Suppressed	8906	Suppressed
	"Nye County, NV"	"32023"	Suppressed	87625	Suppressed
	"Pershing County, NV"	"32027"	Suppressed	13068	Suppressed
	"Storey County, NV"	"32029"	Suppressed	8057	Suppressed
	"Washoe County, NV"	"32031"	35	914203	3.8
	"White Pine County, NV"	"32033"	Suppressed	19274	Suppressed
	"Carson City, NV"	"32510"	Suppressed	109487	Suppressed
	"Belknap County, NH"	"33001"	36	121564	29.6
	"Carroll County, NH"	"33003"	25	95353	26.2
	"Cheshire County, NH"	"33005"	33	151734	21.7
	"Coos County, NH"	"33007"	13	63673	Unreliable
	"Grafton County, NH"	"33009"	18	178274	Unreliable
	"Hillsborough County, NH"	"33011"	306	817458	37.4
	"Merrimack County, NH"	"33013"	56	297798	18.8
	"Rockingham County, NH"	"33015"	158	609614	25.9
	"Strafford County, NH"	"33017"	82	256041	32.0
	"Sullivan County, NH"	"33019"	10	86081	Unreliable
	"Atlantic County, NJ"	"34001"	120	540909	22.2
	"Bergen County, NJ"	"34003"	125	1887557	6.6
	"Burlington County, NJ"	"34005"	90	897880	10.0
	"Camden County, NJ"	"34007"	15	1020869	Unreliable
	"Cape May County, NJ"	"34009"	43	187983	22.9
	"Cumberland County, NJ"	"34011"	78	306335	25.5
	"Essex County, NJ"	"34013"	245	1605199	15.3
	"Gloucester County, NJ"	"34015"	17	584536	Unreliable
	"Hudson County, NJ"	"34017"	107	1369626	7.8
	"Hunterdon County, NJ"	"34019"	22	249735	8.8
	"Mercer County, NJ"	"34021"	80	745756	10.7
	"Middlesex County, NJ"	"34023"	257	1679871	15.3
	"Monmouth County, NJ"	"34025"	186	1252197	14.9
	"Morris County, NJ"	"34027"	104	998116	10.4
	"Ocean County, NJ"	"34029"	225	1190440	18.9
	"Passaic County, NJ"	"34031"	92	1020552	9.0
	"Salem County, NJ"	"34033"	Suppressed	126228	Suppressed
	"Somerset County, NJ"	"34035"	62	669183	9.3
	"Sussex County, NJ"	"34037"	40	284204	14.1
	"Union County, NJ"	"34039"	113	1119522	10.1
	"Warren County, NJ"	"34041"	43	213415	20.1
	"Bernalillo County, NM"	"35001"	62	1353726	4.6
	"Catron County, NM"	"35003"	Suppressed	7095	Suppressed
	"Chaves County, NM"	"35005"	Suppressed	130148	Suppressed
	"Cibola County, NM"	"35006"	Suppressed	54340	Suppressed
	"Colfax County, NM"	"35007"	Suppressed	24427	Suppressed
	"Curry County, NM"	"35009"	Suppressed	100092	Suppressed
	"DeBaca County, NM"	"35011"	Suppressed	3622	Suppressed
	"Dona Ana County, NM"	"35013"	Suppressed	429786	Suppressed
	"Eddy County, NM"	"35015"	Suppressed	114618	Suppressed
	"Grant County, NM"	"35017"	Suppressed	55967	Suppressed
	"Guadalupe County, NM"	"35019"	Suppressed	8805	Suppressed
	"Harding County, NM"	"35021"	Suppressed	1357	Suppressed
	"Hidalgo County, NM"	"35023"	Suppressed	8607	Suppressed
	"Lea County, NM"	"35025"	Suppressed	138508	Suppressed
	"Lincoln County, NM"	"35027"	Suppressed	38824	Suppressed
	"Los Alamos County, NM"	"35028"	Suppressed	36885	Suppressed
	"Luna County, NM"	"35029"	Suppressed	48528	Suppressed
	"McKinley County, NM"	"35031"	Suppressed	147487	Suppressed
	"Mora County, NM"	"35033"	Suppressed	9055	Suppressed
	"Otero County, NM"	"35035"	Suppressed	131227	Suppressed
