"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Meade County, SD"	"46093"	Suppressed	486197	Suppressed
	"Mellette County, SD"	"46095"	Suppressed	39104	Suppressed
	"Miner County, SD"	"46097"	Suppressed	47019	Suppressed
	"Minnehaha County, SD"	"46099"	38	3162834	1.2
	"Moody County, SD"	"46101"	Suppressed	123585	Suppressed
	"Pennington County, SD"	"46103"	18	1872608	Unreliable
	"Perkins County, SD"	"46105"	Suppressed	58359	Suppressed
	"Potter County, SD"	"46107"	Suppressed	46047	Suppressed
	"Roberts County, SD"	"46109"	Suppressed	192059	Suppressed
	"Sanborn County, SD"	"46111"	Suppressed	46504	Suppressed
	"Shannon County, SD"	"46113"	Suppressed	255928	Suppressed
	"Spink County, SD"	"46115"	Suppressed	128143	Suppressed
	"Stanley County, SD"	"46117"	Suppressed	54795	Suppressed
	"Sully County, SD"	"46119"	Suppressed	27285	Suppressed
	"Todd County, SD"	"46121"	Suppressed	182217	Suppressed
	"Tripp County, SD"	"46123"	Suppressed	111044	Suppressed
	"Turner County, SD"	"46125"	Suppressed	160457	Suppressed
	"Union County, SD"	"46127"	Suppressed	263089	Suppressed
	"Walworth County, SD"	"46129"	Suppressed	105768	Suppressed
	"Yankton County, SD"	"46135"	Suppressed	421481	Suppressed
	"Ziebach County, SD"	"46137"	Suppressed	51605	Suppressed
	"Anderson County, TN"	"47001"	38	1401910	2.7
	"Bedford County, TN"	"47003"	Suppressed	820912	Suppressed
	"Benton County, TN"	"47005"	Suppressed	311488	Suppressed
	"Bledsoe County, TN"	"47007"	Suppressed	248288	Suppressed
	"Blount County, TN"	"47009"	28	2258350	1.2
	"Bradley County, TN"	"47011"	20	1834969	1.1
	"Campbell County, TN"	"47013"	23	763054	3.0
	"Cannon County, TN"	"47015"	Suppressed	255915	Suppressed
	"Carroll County, TN"	"47017"	Suppressed	545273	Suppressed
	"Carter County, TN"	"47019"	18	1086049	Unreliable
	"Cheatham County, TN"	"47021"	20	727802	2.7
	"Chester County, TN"	"47023"	Suppressed	315958	Suppressed
	"Claiborne County, TN"	"47025"	Suppressed	593869	Suppressed
	"Clay County, TN"	"47027"	Suppressed	149321	Suppressed
	"Cocke County, TN"	"47029"	14	662955	Unreliable
	"Coffee County, TN"	"47031"	20	982649	2.0
	"Crockett County, TN"	"47033"	Suppressed	275778	Suppressed
	"Cumberland County, TN"	"47035"	14	1021466	Unreliable
	"Davidson County, TN"	"47037"	286	11763734	2.4
	"Decatur County, TN"	"47039"	Suppressed	222089	Suppressed
	"DeKalb County, TN"	"47041"	Suppressed	351361	Suppressed
	"Dickson County, TN"	"47043"	15	912964	Unreliable
	"Dyer County, TN"	"47045"	Suppressed	717956	Suppressed
	"Fayette County, TN"	"47047"	Suppressed	677628	Suppressed
	"Fentress County, TN"	"47049"	Suppressed	332485	Suppressed
	"Franklin County, TN"	"47051"	13	773049	Unreliable
	"Gibson County, TN"	"47053"	Suppressed	927123	Suppressed
	"Giles County, TN"	"47055"	13	557580	Unreliable
	"Grainger County, TN"	"47057"	Suppressed	419506	Suppressed
	"Greene County, TN"	"47059"	23	1270964	1.8
	"Grundy County, TN"	"47061"	Suppressed	263171	Suppressed
	"Hamblen County, TN"	"47063"	20	1163135	1.7
	"Hamilton County, TN"	"47065"	100	6287040	1.6
	"Hancock County, TN"	"47067"	Suppressed	127841	Suppressed
	"Hardeman County, TN"	"47069"	Suppressed	516264	Suppressed
	"Hardin County, TN"	"47071"	Suppressed	490432	Suppressed
	"Hawkins County, TN"	"47073"	25	1059273	2.4
	"Haywood County, TN"	"47075"	Suppressed	358940	Suppressed
	"Henderson County, TN"	"47077"	Suppressed	514455	Suppressed
	"Henry County, TN"	"47079"	10	604748	Unreliable
	"Hickman County, TN"	"47081"	Suppressed	454305	Suppressed
	"Houston County, TN"	"47083"	Suppressed	155694	Suppressed
	"Humphreys County, TN"	"47085"	Suppressed	345897	Suppressed
	"Jackson County, TN"	"47087"	Suppressed	216437	Suppressed
	"Jefferson County, TN"	"47089"	Suppressed	942516	Suppressed
	"Johnson County, TN"	"47091"	Suppressed	340866	Suppressed
	"Knox County, TN"	"47093"	329	7992792	4.1
	"Lake County, TN"	"47095"	Suppressed	148283	Suppressed
	"Lauderdale County, TN"	"47097"	10	519474	Unreliable
