"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Love County, OK"	"40085"	Suppressed	39674	Suppressed
	"McClain County, OK"	"40087"	Suppressed	153404	Suppressed
	"McCurtain County, OK"	"40089"	Suppressed	131728	Suppressed
	"McIntosh County, OK"	"40091"	Suppressed	79635	Suppressed
	"Major County, OK"	"40093"	Suppressed	30986	Suppressed
	"Marshall County, OK"	"40095"	Suppressed	65039	Suppressed
	"Mayes County, OK"	"40097"	Suppressed	163544	Suppressed
	"Murray County, OK"	"40099"	Suppressed	55510	Suppressed
	"Muskogee County, OK"	"40101"	Suppressed	278228	Suppressed
	"Noble County, OK"	"40103"	Suppressed	45709	Suppressed
	"Nowata County, OK"	"40105"	Suppressed	41788	Suppressed
	"Okfuskee County, OK"	"40107"	Suppressed	48674	Suppressed
	"Oklahoma County, OK"	"40109"	59	3114007	1.9
	"Okmulgee County, OK"	"40111"	Suppressed	156425	Suppressed
	"Osage County, OK"	"40113"	Suppressed	190907	Suppressed
	"Ottawa County, OK"	"40115"	Suppressed	127089	Suppressed
	"Pawnee County, OK"	"40117"	Suppressed	65794	Suppressed
	"Payne County, OK"	"40119"	Suppressed	323820	Suppressed
	"Pittsburg County, OK"	"40121"	10	177593	Unreliable
	"Pontotoc County, OK"	"40123"	Suppressed	152753	Suppressed
	"Pottawatomie County, OK"	"40125"	Suppressed	288202	Suppressed
	"Pushmataha County, OK"	"40127"	Suppressed	44538	Suppressed
	"Roger Mills County, OK"	"40129"	Suppressed	14905	Suppressed
	"Rogers County, OK"	"40131"	Suppressed	363827	Suppressed
	"Seminole County, OK"	"40133"	Suppressed	101054	Suppressed
	"Sequoyah County, OK"	"40135"	Suppressed	165057	Suppressed
	"Stephens County, OK"	"40137"	Suppressed	176496	Suppressed
	"Texas County, OK"	"40139"	Suppressed	85340	Suppressed
	"Tillman County, OK"	"40141"	Suppressed	30041	Suppressed
	"Tulsa County, OK"	"40143"	69	2558046	2.7
	"Wagoner County, OK"	"40145"	Suppressed	308597	Suppressed
	"Washington County, OK"	"40147"	Suppressed	207977	Suppressed
	"Washita County, OK"	"40149"	Suppressed	45789	Suppressed
	"Woods County, OK"	"40151"	Suppressed	36824	Suppressed
	"Woodward County, OK"	"40153"	Suppressed	84361	Suppressed
	"Baker County, OR"	"41001"	Suppressed	64177	Suppressed
	"Benton County, OR"	"41003"	Suppressed	354224	Suppressed
	"Clackamas County, OR"	"41005"	16	1617221	Unreliable
	"Clatsop County, OR"	"41007"	Suppressed	153119	Suppressed
	"Columbia County, OR"	"41009"	Suppressed	201626	Suppressed
	"Coos County, OR"	"41011"	Suppressed	253245	Suppressed
	"Crook County, OR"	"41013"	Suppressed	88321	Suppressed
	"Curry County, OR"	"41015"	Suppressed	90200	Suppressed
	"Deschutes County, OR"	"41017"	Suppressed	713838	Suppressed
	"Douglas County, OR"	"41019"	Suppressed	432519	Suppressed
	"Gilliam County, OR"	"41021"	Suppressed	7500	Suppressed
	"Grant County, OR"	"41023"	Suppressed	28713	Suppressed
	"Harney County, OR"	"41025"	Suppressed	28907	Suppressed
	"Hood River County, OR"	"41027"	Suppressed	92631	Suppressed
	"Jackson County, OR"	"41029"	Suppressed	856860	Suppressed
	"Jefferson County, OR"	"41031"	Suppressed	91696	Suppressed
	"Josephine County, OR"	"41033"	Suppressed	340600	Suppressed
	"Klamath County, OR"	"41035"	Suppressed	264849	Suppressed
	"Lake County, OR"	"41037"	Suppressed	31367	Suppressed
	"Lane County, OR"	"41039"	22	1465499	1.5
	"Lincoln County, OR"	"41041"	Suppressed	190170	Suppressed
	"Linn County, OR"	"41043"	Suppressed	487799	Suppressed
	"Malheur County, OR"	"41045"	Suppressed	121658	Suppressed
	"Marion County, OR"	"41047"	14	1334412	Unreliable
	"Morrow County, OR"	"41049"	Suppressed	44817	Suppressed
	"Multnomah County, OR"	"41051"	52	3174327	1.6
	"Polk County, OR"	"41053"	Suppressed	322826	Suppressed
	"Sherman County, OR"	"41055"	Suppressed	6858	Suppressed
	"Tillamook County, OR"	"41057"	Suppressed	103828	Suppressed
	"Umatilla County, OR"	"41059"	Suppressed	306677	Suppressed
	"Union County, OR"	"41061"	Suppressed	103790	Suppressed
	"Wallowa County, OR"	"41063"	Suppressed	27673	Suppressed
	"Wasco County, OR"	"41065"	Suppressed	103842	Suppressed
	"Washington County, OR"	"41067"	21	2309060	0.9
	"Wheeler County, OR"	"41069"	Suppressed	5434	Suppressed
	"Yamhill County, OR"	"41071"	Suppressed	415174	Suppressed
	"Adams County, PA"	"42001"	14	408525	Unreliable
	"Allegheny County, PA"	"42003"	1152	4910127	23.5
	"Armstrong County, PA"	"42005"	26	266965	9.7
	"Beaver County, PA"	"42007"	91	671832	13.5
	"Bedford County, PA"	"42009"	Suppressed	194337	Suppressed
	"Berks County, PA"	"42011"	122	1661628	7.3
	"Blair County, PA"	"42013"	28	499655	5.6
	"Bradford County, PA"	"42015"	11	244688	Unreliable
	"Bucks County, PA"	"42017"	126	2508792	5.0
	"Butler County, PA"	"42019"	141	746716	18.9
	"Cambria County, PA"	"42021"	52	541929	9.6
	"Cameron County, PA"	"42023"	Suppressed	18806	Suppressed
	"Carbon County, PA"	"42025"	24	255848	9.4
	"Centre County, PA"	"42027"	11	643446	Unreliable
	"Chester County, PA"	"42029"	74	2064328	3.6
	"Clarion County, PA"	"42031"	10	155290	Unreliable
	"Clearfield County, PA"	"42033"	10	322466	Unreliable
	"Clinton County, PA"	"42035"	Suppressed	157417	Suppressed
	"Columbia County, PA"	"42037"	Suppressed	266146	Suppressed
	"Crawford County, PA"	"42039"	35	346075	10.1
	"Cumberland County, PA"	"42041"	47	988672	4.8
	"Dauphin County, PA"	"42043"	39	1093853	3.6
	"Delaware County, PA"	"42045"	196	2254952	8.7
	"Elk County, PA"	"42047"	Suppressed	122743	Suppressed
	"Erie County, PA"	"42049"	127	1107236	11.5
	"Fayette County, PA"	"42051"	79	531951	14.9
	"Forest County, PA"	"42053"	Suppressed	29546	Suppressed
	"Franklin County, PA"	"42055"	42	614615	6.8
	"Fulton County, PA"	"42057"	Suppressed	58491	Suppressed
	"Greene County, PA"	"42059"	12	149329	Unreliable
	"Huntingdon County, PA"	"42061"	19	182543	Unreliable
	"Indiana County, PA"	"42063"	27	345989	7.8
	"Jefferson County, PA"	"42065"	Suppressed	176945	Suppressed
	"Juniata County, PA"	"42067"	Suppressed	98910	Suppressed
	"Lackawanna County, PA"	"42069"	102	846718	12.0
	"Lancaster County, PA"	"42071"	49	2151347	2.3
	"Lawrence County, PA"	"42073"	82	351216	23.3
	"Lebanon County, PA"	"42075"	11	552043	Unreliable
	"Lehigh County, PA"	"42077"	56	1448149	3.9
	"Luzerne County, PA"	"42079"	40	1271004	3.1
	"Lycoming County, PA"	"42081"	16	461645	Unreliable
	"Mc Kean County, PA"	"42083"	Suppressed	168179	Suppressed
	"Mercer County, PA"	"42085"	24	453781	5.3
	"Mifflin County, PA"	"42087"	13	185782	Unreliable
	"Monroe County, PA"	"42089"	20	666855	3.0
	"Montgomery County, PA"	"42091"	277	3283921	8.4
	"Montour County, PA"	"42093"	Suppressed	73813	Suppressed
	"Northampton County, PA"	"42095"	112	1207166	9.3
	"Northumberland County, PA"	"42097"	29	371760	7.8
	"Perry County, PA"	"42099"	Suppressed	183266	Suppressed
	"Philadelphia County, PA"	"42101"	65	6276474	1.0
	"Pike County, PA"	"42103"	12	223393	Unreliable
	"Potter County, PA"	"42105"	Suppressed	67986	Suppressed
	"Schuylkill County, PA"	"42107"	45	576529	7.8
	"Snyder County, PA"	"42109"	Suppressed	162036	Suppressed
	"Somerset County, PA"	"42111"	22	301302	7.3
	"Sullivan County, PA"	"42113"	Suppressed	24893	Suppressed
	"Susquehanna County, PA"	"42115"	20	165433	12.1
	"Tioga County, PA"	"42117"	Suppressed	166411	Suppressed
	"Union County, PA"	"42119"	Suppressed	179988	Suppressed
	"Venango County, PA"	"42121"	Suppressed	210992	Suppressed
	"Warren County, PA"	"42123"	Suppressed	160783	Suppressed
	"Washington County, PA"	"42125"	169	831727	20.3
	"Wayne County, PA"	"42127"	20	204514	9.8
	"Westmoreland County, PA"	"42129"	47	1425361	3.3
	"Wyoming County, PA"	"42131"	15	110774	Unreliable
	"York County, PA"	"42133"	102	1773444	5.8
	"Bristol County, RI"	"44001"	18	196123	Unreliable
	"Kent County, RI"	"44003"	90	658303	13.7
	"Newport County, RI"	"44005"	33	331025	10.0
	"Providence County, RI"	"44007"	411	2536477	16.2
	"Washington County, RI"	"44009"	50	505608	9.9
	"Abbeville County, SC"	"45001"	Suppressed	99491	Suppressed
	"Aiken County, SC"	"45003"	39	666219	5.9
	"Allendale County, SC"	"45005"	Suppressed	37175	Suppressed
	"Anderson County, SC"	"45007"	17	782830	Unreliable
	"Bamberg County, SC"	"45009"	Suppressed	58877	Suppressed
	"Barnwell County, SC"	"45011"	Suppressed	86512	Suppressed
	"Beaufort County, SC"	"45013"	30	725434	4.1
	"Berkeley County, SC"	"45015"	36	829826	4.3
	"Calhoun County, SC"	"45017"	Suppressed	59159	Suppressed
	"Charleston County, SC"	"45019"	77	1568199	4.9
	"Cherokee County, SC"	"45021"	Suppressed	225969	Suppressed
	"Chester County, SC"	"45023"	Suppressed	129086	Suppressed
	"Chesterfield County, SC"	"45025"	Suppressed	184103	Suppressed
	"Clarendon County, SC"	"45027"	Suppressed	135896	Suppressed
	"Colleton County, SC"	"45029"	Suppressed	151036	Suppressed
	"Darlington County, SC"	"45031"	Suppressed	269846	Suppressed
	"Dillon County, SC"	"45033"	Suppressed	123885	Suppressed
	"Dorchester County, SC"	"45035"	30	611176	4.9
	"Edgefield County, SC"	"45037"	Suppressed	106118	Suppressed
	"Fairfield County, SC"	"45039"	Suppressed	90983	Suppressed
	"Florence County, SC"	"45041"	32	555439	5.8
	"Georgetown County, SC"	"45043"	10	245077	Unreliable
	"Greenville County, SC"	"45045"	125	1980218	6.3
	"Greenwood County, SC"	"45047"	17	279846	Unreliable
	"Hampton County, SC"	"45049"	Suppressed	79978	Suppressed
	"Horry County, SC"	"45051"	90	1263641	7.1
	"Jasper County, SC"	"45053"	Suppressed	111917	Suppressed
	"Kershaw County, SC"	"45055"	Suppressed	255897	Suppressed
	"Lancaster County, SC"	"45057"	18	351146	Unreliable
	"Laurens County, SC"	"45059"	Suppressed	266781	Suppressed
	"Lee County, SC"	"45061"	Suppressed	71224	Suppressed
	"Lexington County, SC"	"45063"	59	1136559	5.2
	"McCormick County, SC"	"45065"	Suppressed	38740	Suppressed
	"Marion County, SC"	"45067"	Suppressed	126699	Suppressed
	"Marlboro County, SC"	"45069"	Suppressed	109188	Suppressed
	"Newberry County, SC"	"45071"	Suppressed	152362	Suppressed
	"Oconee County, SC"	"45073"	19	304530	Unreliable
	"Orangeburg County, SC"	"45075"	Suppressed	354677	Suppressed
	"Pickens County, SC"	"45077"	20	488401	4.1
	"Richland County, SC"	"45079"	71	1629758	4.4
	"Saluda County, SC"	"45081"	Suppressed	80728	Suppressed
	"Spartanburg County, SC"	"45083"	71	1199161	5.9
	"Sumter County, SC"	"45085"	Suppressed	429642	Suppressed
	"Union County, SC"	"45087"	Suppressed	110863	Suppressed
	"Williamsburg County, SC"	"45089"	Suppressed	128318	Suppressed
	"York County, SC"	"45091"	54	1021506	5.3
	"Aurora County, SD"	"46003"	Suppressed	10952	Suppressed
	"Beadle County, SD"	"46005"	Suppressed	72799	Suppressed
	"Bennett County, SD"	"46007"	Suppressed	13767	Suppressed
	"Bon Homme County, SD"	"46009"	Suppressed	27976	Suppressed
	"Brookings County, SD"	"46011"	Suppressed	135601	Suppressed
	"Brown County, SD"	"46013"	Suppressed	155499	Suppressed
	"Brule County, SD"	"46015"	Suppressed	21140	Suppressed
	"Buffalo County, SD"	"46017"	Suppressed	8214	Suppressed
	"Butte County, SD"	"46019"	Suppressed	40893	Suppressed
	"Campbell County, SD"	"46021"	Suppressed	5540	Suppressed
	"Charles Mix County, SD"	"46023"	Suppressed	37494	Suppressed
	"Clark County, SD"	"46025"	Suppressed	14628	Suppressed
	"Clay County, SD"	"46027"	Suppressed	55972	Suppressed
	"Codington County, SD"	"46029"	Suppressed	112039	Suppressed
	"Corson County, SD"	"46031"	Suppressed	16714	Suppressed
	"Custer County, SD"	"46033"	Suppressed	34178	Suppressed
	"Davison County, SD"	"46035"	Suppressed	79350	Suppressed
	"Day County, SD"	"46037"	Suppressed	22219	Suppressed
	"Deuel County, SD"	"46039"	Suppressed	17157	Suppressed
	"Dewey County, SD"	"46041"	Suppressed	22924	Suppressed
	"Douglas County, SD"	"46043"	Suppressed	11813	Suppressed
	"Edmunds County, SD"	"46045"	Suppressed	15853	Suppressed
	"Fall River County, SD"	"46047"	Suppressed	27248	Suppressed
	"Faulk County, SD"	"46049"	Suppressed	9377	Suppressed
	"Grant County, SD"	"46051"	Suppressed	28592	Suppressed
	"Gregory County, SD"	"46053"	Suppressed	16815	Suppressed
	"Haakon County, SD"	"46055"	Suppressed	7543	Suppressed
	"Hamlin County, SD"	"46057"	Suppressed	24012	Suppressed
	"Hand County, SD"	"46059"	Suppressed	13289	Suppressed
	"Hanson County, SD"	"46061"	Suppressed	13601	Suppressed
	"Harding County, SD"	"46063"	Suppressed	5037	Suppressed
	"Hughes County, SD"	"46065"	Suppressed	70463	Suppressed
	"Hutchinson County, SD"	"46067"	Suppressed	29227	Suppressed
	"Hyde County, SD"	"46069"	Suppressed	5463	Suppressed
	"Jackson County, SD"	"46071"	Suppressed	13210	Suppressed
	"Jerauld County, SD"	"46073"	Suppressed	8036	Suppressed
	"Jones County, SD"	"46075"	Suppressed	3762	Suppressed
	"Kingsbury County, SD"	"46077"	Suppressed	20018	Suppressed
	"Lake County, SD"	"46079"	Suppressed	50708	Suppressed
	"Lawrence County, SD"	"46081"	Suppressed	100194	Suppressed
	"Lincoln County, SD"	"46083"	Suppressed	215530	Suppressed
	"Lyman County, SD"	"46085"	Suppressed	15551	Suppressed
	"McCook County, SD"	"46087"	Suppressed	22372	Suppressed
	"McPherson County, SD"	"46089"	Suppressed	9708	Suppressed
	"Marshall County, SD"	"46091"	Suppressed	19057	Suppressed
	"Meade County, SD"	"46093"	Suppressed	109648	Suppressed
	"Mellette County, SD"	"46095"	Suppressed	8340	Suppressed
	"Miner County, SD"	"46097"	Suppressed	9061	Suppressed
	"Minnehaha County, SD"	"46099"	12	744013	Unreliable
	"Moody County, SD"	"46101"	Suppressed	25881	Suppressed
	"Pennington County, SD"	"46103"	Suppressed	436457	Suppressed
	"Perkins County, SD"	"46105"	Suppressed	12009	Suppressed
	"Potter County, SD"	"46107"	Suppressed	9190	Suppressed
	"Roberts County, SD"	"46109"	Suppressed	41218	Suppressed
